"epoch","stilted-haze-15 - _step","stilted-haze-15 - _step__MIN","stilted-haze-15 - _step__MAX","stilted-haze-15 - valid_dataset_f1","stilted-haze-15 - valid_dataset_f1__MIN","stilted-haze-15 - valid_dataset_f1__MAX","apricot-butterfly-13 - _step","apricot-butterfly-13 - _step__MIN","apricot-butterfly-13 - _step__MAX","apricot-butterfly-13 - valid_dataset_f1","apricot-butterfly-13 - valid_dataset_f1__MIN","apricot-butterfly-13 - valid_dataset_f1__MAX"
"21","21","21","21","0.6690675616264343","0.6690675616264343","0.6690675616264343","21","21","21","0.6045105457305908","0.6045105457305908","0.6045105457305908"
"22","22","22","22","0.6743882894515991","0.6743882894515991","0.6743882894515991","22","22","22","0.6135145425796509","0.6135145425796509","0.6135145425796509"
"23","23","23","23","0.6638615131378174","0.6638615131378174","0.6638615131378174","23","23","23","0.6247172951698303","0.6247172951698303","0.6247172951698303"
"24","25","25","25","0.6608736515045166","0.6608736515045166","0.6608736515045166","25","25","25","0.6125050783157349","0.6125050783157349","0.6125050783157349"
"25","26","26","26","0.6814359426498413","0.6814359426498413","0.6814359426498413","26","26","26","0.5947142839431763","0.5947142839431763","0.5947142839431763"
"26","27","27","27","0.6851049661636353","0.6851049661636353","0.6851049661636353","27","27","27","0.6056571006774902","0.6056571006774902","0.6056571006774902"
"27","28","28","28","0.6763449907302856","0.6763449907302856","0.6763449907302856","28","28","28","0.6351801753044128","0.6351801753044128","0.6351801753044128"
"28","29","29","29","0.6814974546432495","0.6814974546432495","0.6814974546432495","29","29","29","0.6597357392311096","0.6597357392311096","0.6597357392311096"
"29","30","30","30","0.6899968385696411","0.6899968385696411","0.6899968385696411","30","30","30","0.6694733500480652","0.6694733500480652","0.6694733500480652"
"30","31","31","31","0.6857006549835205","0.6857006549835205","0.6857006549835205","31","31","31","0.659792423248291","0.659792423248291","0.659792423248291"
"31","32","32","32","0.6738525629043579","0.6738525629043579","0.6738525629043579","32","32","32","0.6303194761276245","0.6303194761276245","0.6303194761276245"
"32","33","33","33","0.6782055497169495","0.6782055497169495","0.6782055497169495","33","33","33","0.5973993539810181","0.5973993539810181","0.5973993539810181"
"33","34","34","34","0.685472846031189","0.685472846031189","0.685472846031189","34","34","34","0.6139780282974243","0.6139780282974243","0.6139780282974243"
"34","35","35","35","0.6761490106582642","0.6761490106582642","0.6761490106582642","35","35","35","0.614380419254303","0.614380419254303","0.614380419254303"
"35","36","36","36","0.665300726890564","0.665300726890564","0.665300726890564","36","36","36","0.5824158191680908","0.5824158191680908","0.5824158191680908"
"36","37","37","37","0.6666020750999451","0.6666020750999451","0.6666020750999451","37","37","37","0.5530999898910522","0.5530999898910522","0.5530999898910522"
"37","38","38","38","0.6830455660820007","0.6830455660820007","0.6830455660820007","38","38","38","0.5498136878013611","0.5498136878013611","0.5498136878013611"
"38","39","39","39","0.6620951890945435","0.6620951890945435","0.6620951890945435","39","39","39","0.5595340728759766","0.5595340728759766","0.5595340728759766"
"39","40","40","40","0.6352581977844238","0.6352581977844238","0.6352581977844238","40","40","40","0.5713741183280945","0.5713741183280945","0.5713741183280945"
"40","41","41","41","0.6326065063476562","0.6326065063476562","0.6326065063476562","41","41","41","0.5656540393829346","0.5656540393829346","0.5656540393829346"
"41","42","42","42","0.6277751922607422","0.6277751922607422","0.6277751922607422","42","42","42","0.5364601612091064","0.5364601612091064","0.5364601612091064"
